InvoiceNo,StockCode,ProductName,Quantity,InvoiceDate,Date,Month,UnitPrice,Revenue,CustomerID,Country
550914,47566,Party Bunting,50,2011-04-21 13:29:00,2011-04-21,2011-04,4.15,207.50000000000003,17061.0,United Kingdom
540537,21644,Assorted Tutti Frutti Heart Box,24,2011-01-09 14:28:00,2011-01-09,2011-01,1.25,30.0,13565.0,United Kingdom
561113,22326,Round Snack Boxes Set Of4 Woodland,10,2011-07-25 12:09:00,2011-07-25,2011-07,2.95,29.5,17841.0,United Kingdom
540411,37449,Ceramic Cake Stand + Hanging Cakes,4,2011-01-07 10:24:00,2011-01-07,2011-01,9.95,39.8,16551.0,United Kingdom
560248,22151,Place Setting White Heart,96,2011-07-17 12:24:00,2011-07-17,2011-07,0.42,40.32,16255.0,United Kingdom
552240,22139,Retrospot Tea Set Ceramic 11 Pc,6,2011-05-06 17:04:00,2011-05-06,2011-05,4.95,29.700000000000003,13723.0,United Kingdom
575989,22469,Heart Of Wicker Small,1,2011-11-13 14:20:00,2011-11-13,2011-11,1.65,1.65,14698.0,United Kingdom
576088,22993,Set Of 4 Pantry Jelly Moulds,8,2011-11-14 08:41:00,2011-11-14,2011-11,1.48,11.84,17450.0,United Kingdom
538513,21672,White Spot Red Ceramic Drawer Knob,2,2010-12-12 14:21:00,2010-12-12,2010-12,1.25,2.5,15454.0,United Kingdom
573347,22728,Alarm Clock Bakelike Pink,1,2011-10-30 12:26:00,2011-10-30,2011-10,3.75,3.75,13137.0,United Kingdom
567981,47566,Party Bunting,17,2011-09-23 11:22:00,2011-09-23,2011-09,10.79,183.42999999999998,,United Kingdom
552560,21918,Set 12 Kids Colour Chalk Sticks,24,2011-05-10 11:48:00,2011-05-10,2011-05,0.42,10.08,17581.0,United Kingdom
558709,15056N,Edwardian Parasol Natural,1,2011-07-01 13:02:00,2011-07-01,2011-07,5.95,5.95,17338.0,United Kingdom
571192,22178,Victorian Glass Hanging T-Light,6,2011-10-14 11:55:00,2011-10-14,2011-10,1.95,11.7,13050.0,United Kingdom
566985,21430,Set/3 Red Gingham Rose Storage Box,2,2011-09-16 10:42:00,2011-09-16,2011-09,7.46,14.92,,United Kingdom
553527,84997C,Childrens Cutlery Polkadot Blue,4,2011-05-17 14:57:00,2011-05-17,2011-05,4.15,16.6,15123.0,United Kingdom
580529,22086,Paper Chain Kit 50'S Christmas,1,2011-12-04 15:35:00,2011-12-04,2011-12,2.95,2.95,14658.0,United Kingdom
557954,21559,Strawberry Lunch Box With Cutlery,3,2011-06-23 18:44:00,2011-06-23,2011-06,2.55,7.6499999999999995,15023.0,United Kingdom
542231,21723,Alphabet Hearts Sticker Sheet,3,2011-01-26 13:40:00,2011-01-26,2011-01,0.85,2.55,16714.0,United Kingdom
577359,82583,Hot Baths Metal Sign,1,2011-11-18 16:07:00,2011-11-18,2011-11,2.1,2.1,14903.0,United Kingdom
575954,23401,Rustic Mirror With Lace Heart,2,2011-11-13 12:03:00,2011-11-13,2011-11,6.25,12.5,17211.0,United Kingdom
567667,22196,Small Heart Measuring Spoons,2,2011-09-21 15:24:00,2011-09-21,2011-09,1.63,3.26,,United Kingdom
566427,23265,Set Of 3 Wooden Tree Decorations,3,2011-09-12 14:24:00,2011-09-12,2011-09,1.25,3.75,17433.0,United Kingdom
553710,22659,Lunch Box I Love London,3,2011-05-18 15:35:00,2011-05-18,2011-05,1.95,5.85,17338.0,United Kingdom
554960,22308,Tea Cosy Blue Stripe,1,2011-05-27 15:18:00,2011-05-27,2011-05,4.96,4.96,,United Kingdom
577856,22333,Retrospot Party Bag + Sticker Set,8,2011-11-22 11:19:00,2011-11-22,2011-11,1.65,13.2,12490.0,France
579508,22596,Christmas Star Wish List Chalkboard,1,2011-11-29 16:33:00,2011-11-29,2011-11,2.46,2.46,,United Kingdom
577359,21918,Set 12 Kids Colour Chalk Sticks,3,2011-11-18 16:07:00,2011-11-18,2011-11,0.42,1.26,14903.0,United Kingdom
575765,22141,Christmas Craft Tree Top Angel,12,2011-11-11 11:02:00,2011-11-11,2011-11,2.1,25.200000000000003,17730.0,United Kingdom
571245,21533,Retrospot Large Milk Jug,12,2011-10-14 15:50:00,2011-10-14,2011-10,4.25,51.0,16839.0,United Kingdom
571056,21340,Classic Metal Birdcage Plant Holder,1,2011-10-13 14:10:00,2011-10-13,2011-10,12.75,12.75,15367.0,United Kingdom
543530,22366,Doormat Airmail,1,2011-02-09 12:46:00,2011-02-09,2011-02,14.13,14.13,,United Kingdom
574298,23582,Vintage Doily Jumbo Bag Red,8,2011-11-03 15:56:00,2011-11-03,2011-11,2.08,16.64,,United Kingdom
580279,23580,Snack Tray Happy Forest,8,2011-12-02 13:12:00,2011-12-02,2011-12,1.95,15.6,15123.0,United Kingdom
568301,85049A,Traditional Christmas Ribbons,4,2011-09-26 12:45:00,2011-09-26,2011-09,1.25,5.0,16383.0,United Kingdom
560862,21175,Gin + Tonic Diet Metal Sign,3,2011-07-21 13:48:00,2011-07-21,2011-07,2.55,7.6499999999999995,14085.0,United Kingdom
548516,22227,Hanging Heart Mirror Decoration,3,2011-03-31 16:28:00,2011-03-31,2011-03,1.25,3.75,,United Kingdom
576771,23203,Jumbo Bag Vintage Doily,10,2011-11-16 13:19:00,2011-11-16,2011-11,2.08,20.8,13285.0,United Kingdom
